Team,Opponent,Wins,Losses,ParentGame
Argentina,Uruguay,1,0,4
England,Paraguay,1,0,15
Spain,Denmark,1,0,5
Belgium,SovietUnion,1,0,16
Argentina,England,1,0,6
Spain,Belgium,0,1,17
Argentina,Belgium,1,0,7
Argentina,GermanyFR,1,0,26
Brazil,Poland,1,0,12
Italy,France,0,1,22
Morocco,GermanyFR,0,1,13
Mexico,Bulgaria,1,0,23
Brazil,France,0,1,14
GermanyFR,Mexico,1,0,24
France,GermanyFR,0,1,25
England,Argentina,0,1,6
Belgium,Spain,1,0,17
Belgium,Argentina,0,1,7
Poland,Brazil,0,1,12
France,Italy,1,0,22
GermanyFR,Morocco,1,0,13
Bulgaria,Mexico,0,1,23
France,Brazil,1,0,14
Mexico,GermanyFR,0,1,24
GermanyFR,France,1,0,25
GermanyFR,Argentina,0,1,26
Argentina,,1,0,
Denmark,Spain,0,1,5
SovietUnion,Belgium,0,1,16
Paraguay,England,0,1,15
Uruguay,Argentina,0,1,4
