Team,Opponent,Goals Made,Goals Conceded,Delta Goals,Wins,Losses,Result
Angola,Portugal,0,1,-1,0,1,Group
Angola,Mexico,0,0,0,0,0,Group
Angola,Iran,1,1,0,0,0,Group
Argentina,Mexico,2,1,1,1,0,Round of Sixteen
Argentina,Germany,1,1,0,0,0,Quarter Finals
Argentina,CotedIvoire,2,1,1,1,0,Group
Argentina,Serbia and Montenegro,6,0,6,1,0,Group
Argentina,Netherlands,0,0,0,0,0,Group
Australia,Italy,0,1,-1,0,1,Round of Sixteen
Australia,Japan,3,1,2,1,0,Group
Australia,Brazil,0,2,-2,0,1,Group
Australia,Croatia,2,2,0,0,0,Group
Brazil,Ghana,3,0,3,1,0,Round of Sixteen
Brazil,France,0,1,-1,0,1,Quarter Finals
Brazil,Croatia,1,0,1,1,0,Group
Brazil,Australia,2,0,2,1,0,Group
Brazil,Japan,4,1,3,1,0,Group
Costa Rica,Poland,1,2,-1,0,1,Group
Costa Rica,Germany,2,4,-2,0,1,Group
Costa Rica,Ecuador,0,3,-3,0,1,Group
CotedIvoire,Serbia and Montenegro,3,2,1,1,0,Group
CotedIvoire,Argentina,1,2,-1,0,1,Group
CotedIvoire,Netherlands,1,2,-1,0,1,Group
Croatia,Australia,2,2,0,0,0,Group
Croatia,Brazil,0,1,-1,0,1,Group
Croatia,Japan,0,0,0,0,0,Group
Czech Republic,Ghana,0,2,-2,0,1,Group
Czech Republic,Italy,0,2,-2,0,1,Group
Czech Republic,UnitedStates,3,0,3,1,0,Group
Ecuador,England,0,1,-1,0,1,Round of Sixteen
Ecuador,Costa Rica,3,0,3,1,0,Group
Ecuador,Germany,0,3,-3,0,1,Group
Ecuador,Poland,2,0,2,1,0,Group
England,Ecuador,1,0,1,1,0,Round of Sixteen
England,Portugal,0,0,0,0,0,Quarter Finals
England,Paraguay,1,0,1,1,0,Group
England,Trinidad and Tobago,2,0,2,1,0,Group
England,Sweden,2,2,0,0,0,Group
France,Portugal,1,0,1,1,0,Semi Finals
France,Italy,1,1,0,0,0,Runner-Up
France,Spain,3,1,2,1,0,Round of Sixteen
France,Brazil,1,0,1,1,0,Quarter Finals
France,Switzerland,0,0,0,0,0,Group
France,Korea,1,1,0,0,0,Group
France,Togo,2,0,2,1,0,Group
Germany,Portugal,3,1,2,1,0,Third Place
Germany,Italy,0,2,-2,0,1,Semi Finals
Germany,Sweden,2,0,2,1,0,Round of Sixteen
Germany,Argentina,1,1,0,0,0,Quarter Finals
Germany,Costa Rica,4,2,2,1,0,Group
Germany,Poland,1,0,1,1,0,Group
Germany,Ecuador,3,0,3,1,0,Group
Ghana,Brazil,0,3,-3,0,1,Round of Sixteen
Ghana,UnitedStates,2,1,1,1,0,Group
Ghana,Italy,0,2,-2,0,1,Group
Ghana,Czech Republic,2,0,2,1,0,Group
Iran,Angola,1,1,0,0,0,Group
Iran,Mexico,1,3,-2,0,1,Group
Iran,Portugal,0,2,-2,0,1,Group
Italy,France,1,1,0,0,0,Winner
Italy,Germany,2,0,2,1,0,Semi Finals
Italy,Australia,1,0,1,1,0,Round of Sixteen
Italy,Ukraine,3,0,3,1,0,Quarter Finals
Italy,Ghana,2,0,2,1,0,Group
Italy,UnitedStates,1,1,0,0,0,Group
Italy,Czech Republic,2,0,2,1,0,Group
Japan,Croatia,0,0,0,0,0,Group
Japan,Brazil,1,4,-3,0,1,Group
Japan,Australia,1,3,-2,0,1,Group
Korea,Togo,2,1,1,1,0,Group
Korea,France,1,1,0,0,0,Group
Korea,Switzerland,0,2,-2,0,1,Group
Mexico,Argentina,1,2,-1,0,1,Round of Sixteen
Mexico,Iran,3,1,2,1,0,Group
Mexico,Angola,0,0,0,0,0,Group
Mexico,Portugal,1,2,-1,0,1,Group
Netherlands,Portugal,0,1,-1,0,1,Round of Sixteen
Netherlands,CotedIvoire,2,1,1,1,0,Group
Netherlands,Argentina,0,0,0,0,0,Group
Netherlands,Serbia and Montenegro,1,0,1,1,0,Group
Paraguay,Trinidad and Tobago,2,0,2,1,0,Group
Paraguay,England,0,1,-1,0,1,Group
Paraguay,Sweden,0,1,-1,0,1,Group
Poland,Ecuador,0,2,-2,0,1,Group
Poland,Germany,0,1,-1,0,1,Group
Poland,Costa Rica,2,1,1,1,0,Group
Portugal,France,0,1,-1,0,1,Semi Finals
Portugal,Netherlands,1,0,1,1,0,Round of Sixteen
Portugal,England,0,0,0,0,0,Quarter Finals
Portugal,Iran,2,0,2,1,0,Group
Portugal,Mexico,2,1,1,1,0,Group
Portugal,Angola,1,0,1,1,0,Group
Portugal,Germany,1,3,-2,0,1,Fourth Place
Saudi Arabia,Ukraine,0,4,-4,0,1,Group
Saudi Arabia,Spain,0,1,-1,0,1,Group
Saudi Arabia,Tunisia,2,2,0,0,0,Group
Serbia and Montenegro,Netherlands,0,1,-1,0,1,Group
Serbia and Montenegro,Argentina,0,6,-6,0,1,Group
Serbia and Montenegro,CotedIvoire,2,3,-1,0,1,Group
Spain,France,1,3,-2,0,1,Round of Sixteen
Spain,Ukraine,4,0,4,1,0,Group
Spain,Tunisia,3,1,2,1,0,Group
Spain,Saudi Arabia,1,0,1,1,0,Group
Sweden,Germany,0,2,-2,0,1,Round of Sixteen
Sweden,Paraguay,1,0,1,1,0,Group
Sweden,England,2,2,0,0,0,Group
Sweden,Trinidad and Tobago,0,0,0,0,0,Group
Switzerland,Ukraine,0,0,0,0,0,Round of Sixteen
Switzerland,Korea,2,0,2,1,0,Group
Switzerland,France,0,0,0,0,0,Group
Switzerland,Togo,2,0,2,1,0,Group
Togo,Switzerland,0,2,-2,0,1,Group
Togo,France,0,2,-2,0,1,Group
Togo,Korea,1,2,-1,0,1,Group
Trinidad and Tobago,Sweden,0,0,0,0,0,Group
Trinidad and Tobago,England,0,2,-2,0,1,Group
Trinidad and Tobago,Paraguay,0,2,-2,0,1,Group
Tunisia,Saudi Arabia,2,2,0,0,0,Group
Tunisia,Spain,1,3,-2,0,1,Group
Tunisia,Ukraine,0,1,-1,0,1,Group
Ukraine,Switzerland,0,0,0,0,0,Round of Sixteen
