Team,Opponent,Wins,Losses,ParentGame
Uruguay,Portugal,1,0,4
France,Argentina,1,0,15
Brazil,Mexico,1,0,5
Belgium,Japan,1,0,16
Uruguay,France,0,1,6
Brazil,Belgium,0,1,17
France,Belgium,1,0,7
France,Croatia,1,0,26
Russia,Spain,1,0,12
Croatia,Denmark,1,0,22
Sweden,Switzerland,1,0,13
England,Columbia,1,0,23
Russia,Croatia,0,1,14
England,Sweden,1,0,24
Croatia,England,1,0,25
France,Uruguay,1,0,6
Belgium,Brazil,1,0,17
Belgium,France,0,1,7
Spain,Russia,0,1,12
Denmark,Croatia,0,1,22
Switzerland,Sweden,0,1,13
Columbia,England,0,1,23
Croatia,Russia,1,0,14
Sweden,England,0,1,24
England,Croatia,0,1,25
Croatia,France,0,1,26
France,,1,0,
Mexico,Brazil,0,1,5
Japan,Belgium,0,1,16
Argentina,France,0,1,15
Portugal,Uruguay,0,1,4
